ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  2300 | eps 0.13 | return   147.31 | HO   4.19 | HOF 22.07 | SE  2.38 | loss 0.0178 |   7472s
ep  2325 | eps 0.12 | return   149.62 | HO   4.18 | HOF 21.32 | SE  2.39 | loss 0.0176 |   7551s
ep  2350 | eps 0.12 | return   155.03 | HO   4.30 | HOF 20.50 | SE  2.40 | loss 0.0172 |   7631s
ep  2375 | eps 0.11 | return   163.31 | HO   4.22 | HOF 19.36 | SE  2.41 | loss 0.0170 |   7711s
ep  2400 | eps 0.10 | return   165.87 | HO   4.23 | HOF 18.52 | SE  2.41 | loss 0.0165 |   7790s
ep  2425 | eps 0.10 | return   164.68 | HO   4.30 | HOF 18.30 | SE  2.41 | loss 0.0161 |   7870s
ep  2450 | eps 0.10 | return   166.76 | HO   4.15 | HOF 18.25 | SE  2.41 | loss 0.0158 |   7950s
ep  2475 | eps 0.10 | return   169.67 | HO   4.22 | HOF 17.91 | SE  2.41 | loss 0.0154 |   8029s
ep  2500 | eps 0.10 | return   167.90 | HO   4.28 | HOF 17.94 | SE  2.41 | loss 0.0154 |   8109s
ep  2525 | eps 0.10 | return   169.13 | HO   4.29 | HOF 17.82 | SE  2.41 | loss 0.0149 |   8188s
ep  2550 | eps 0.10 | return   168.47 | HO   4.29 | HOF 17.95 | SE  2.41 | loss 0.0147 |   8268s
ep  2575 | eps 0.10 | return   170.12 | HO   4.30 | HOF 17.75 | SE  2.41 | loss 0.0147 |   8348s
ep  2600 | eps 0.10 | return   168.70 | HO   4.31 | HOF 17.81 | SE  2.41 | loss 0.0147 |   8427s
ep  2625 | eps 0.10 | return   169.54 | HO   4.25 | HOF 17.87 | SE  2.41 | loss 0.0146 |   8507s
ep  2650 | eps 0.10 | return   169.22 | HO   4.31 | HOF 17.79 | SE  2.41 | loss 0.0144 |   8587s
ep  2675 | eps 0.10 | return   169.46 | HO   4.31 | HOF 17.84 | SE  2.41 | loss 0.0144 |   8666s
ep  2700 | eps 0.10 | return   169.16 | HO   4.32 | HOF 17.68 | SE  2.41 | loss 0.0144 |   8746s
ep  2725 | eps 0.10 | return   169.54 | HO   4.29 | HOF 17.65 | SE  2.41 | loss 0.0141 |   8825s
ep  2750 | eps 0.10 | return   168.71 | HO   4.39 | HOF 17.84 | SE  2.41 | loss 0.0139 |   8905s
ep  2775 | eps 0.10 | return   166.80 | HO   4.37 | HOF 18.04 | SE  2.41 | loss 0.0137 |   8985s
ep  2800 | eps 0.10 | return   169.86 | HO   4.37 | HOF 17.67 | SE  2.41 | loss 0.0137 |   9065s
ep  2825 | eps 0.10 | return   169.27 | HO   4.27 | HOF 17.93 | SE  2.41 | loss 0.0136 |   9144s
ep  2850 | eps 0.10 | return   169.06 | HO   4.31 | HOF 17.84 | SE  2.41 | loss 0.0134 |   9224s
ep  2875 | eps 0.10 | return   168.47 | HO   4.34 | HOF 17.85 | SE  2.41 | loss 0.0134 |   9304s
ep  2900 | eps 0.10 | return   170.00 | HO   4.32 | HOF 17.73 | SE  2.41 | loss 0.0135 |   9383s
ep  2925 | eps 0.10 | return   168.17 | HO   4.34 | HOF 17.79 | SE  2.41 | loss 0.0134 |   9463s
ep  2950 | eps 0.10 | return   166.60 | HO   4.32 | HOF 18.04 | SE  2.41 | loss 0.0135 |   9543s
