ep     1 | eps 0.90 | return  -109.93 | HO   2.35 | HOF 68.20 | SE  2.05 | loss nan |      3s
ep  2075 | eps 0.21 | return   109.17 | HO   4.09 | HOF 29.00 | SE  2.34 | loss 0.0196 |   6245s
ep  2100 | eps 0.20 | return   111.60 | HO   4.08 | HOF 28.32 | SE  2.34 | loss 0.0195 |   6321s
ep  2125 | eps 0.19 | return   118.85 | HO   4.13 | HOF 27.47 | SE  2.35 | loss 0.0189 |   6396s
ep  2150 | eps 0.18 | return   122.68 | HO   4.25 | HOF 26.60 | SE  2.35 | loss 0.0183 |   6472s
ep  2175 | eps 0.17 | return   125.88 | HO   4.32 | HOF 25.77 | SE  2.36 | loss 0.0176 |   6547s
ep  2200 | eps 0.17 | return   129.71 | HO   4.23 | HOF 25.34 | SE  2.36 | loss 0.0176 |   6622s
ep  2225 | eps 0.16 | return   134.46 | HO   4.19 | HOF 24.45 | SE  2.37 | loss 0.0173 |   6697s
ep  2250 | eps 0.15 | return   136.71 | HO   4.35 | HOF 23.75 | SE  2.37 | loss 0.0169 |   6772s
ep  2275 | eps 0.14 | return   143.72 | HO   4.26 | HOF 22.82 | SE  2.38 | loss 0.0166 |   6847s
ep  2300 | eps 0.13 | return   147.13 | HO   4.24 | HOF 22.02 | SE  2.39 | loss 0.0163 |   6922s
ep  2325 | eps 0.12 | return   153.88 | HO   4.20 | HOF 21.02 | SE  2.39 | loss 0.0160 |   6997s
ep  2350 | eps 0.12 | return   156.17 | HO   4.34 | HOF 20.14 | SE  2.40 | loss 0.0157 |   7073s
ep  2375 | eps 0.11 | return   162.74 | HO   4.37 | HOF 19.02 | SE  2.40 | loss 0.0154 |   7148s
ep  2400 | eps 0.10 | return   167.18 | HO   4.43 | HOF 18.17 | SE  2.41 | loss 0.0150 |   7223s
ep  2425 | eps 0.10 | return   168.73 | HO   4.34 | HOF 17.84 | SE  2.41 | loss 0.0145 |   7298s
ep  2450 | eps 0.10 | return   170.28 | HO   4.33 | HOF 17.83 | SE  2.41 | loss 0.0143 |   7373s
ep  2475 | eps 0.10 | return   170.07 | HO   4.33 | HOF 17.89 | SE  2.41 | loss 0.0139 |   7448s
ep  2500 | eps 0.10 | return   168.60 | HO   4.32 | HOF 17.93 | SE  2.41 | loss 0.0136 |   7523s
ep  2525 | eps 0.10 | return   171.23 | HO   4.48 | HOF 17.52 | SE  2.42 | loss 0.0135 |   7598s
ep  2550 | eps 0.10 | return   169.18 | HO   4.33 | HOF 17.88 | SE  2.41 | loss 0.0134 |   7673s
ep  2575 | eps 0.10 | return   170.30 | HO   4.34 | HOF 17.69 | SE  2.41 | loss 0.0136 |   7748s
ep  2600 | eps 0.10 | return   168.83 | HO   4.47 | HOF 17.76 | SE  2.41 | loss 0.0131 |   7823s
ep  2625 | eps 0.10 | return   168.71 | HO   4.50 | HOF 17.69 | SE  2.41 | loss 0.0133 |   7898s
ep  2650 | eps 0.10 | return   170.08 | HO   4.37 | HOF 17.79 | SE  2.41 | loss 0.0131 |   7973s
ep  2675 | eps 0.10 | return   168.99 | HO   4.44 | HOF 17.74 | SE  2.41 | loss 0.0129 |   8048s
ep  2700 | eps 0.10 | return   168.99 | HO   4.46 | HOF 17.73 | SE  2.41 | loss 0.0131 |   8124s
ep  2725 | eps 0.10 | return   171.49 | HO   4.52 | HOF 17.59 | SE  2.42 | loss 0.0129 |   8199s
ep  2750 | eps 0.10 | return   172.64 | HO   4.49 | HOF 17.38 | SE  2.42 | loss 0.0127 |   8274s
ep  2775 | eps 0.10 | return   168.86 | HO   4.41 | HOF 17.80 | SE  2.41 | loss 0.0126 |   8349s
ep  2800 | eps 0.10 | return   169.05 | HO   4.47 | HOF 17.66 | SE  2.41 | loss 0.0126 |   8424s
ep  2825 | eps 0.10 | return   169.38 | HO   4.52 | HOF 17.58 | SE  2.41 | loss 0.0125 |   8499s
ep  2850 | eps 0.10 | return   170.77 | HO   4.52 | HOF 17.54 | SE  2.41 | loss 0.0127 |   8574s
ep  2875 | eps 0.10 | return   168.77 | HO   4.50 | HOF 17.79 | SE  2.41 | loss 0.0126 |   8650s
ep  2900 | eps 0.10 | return   168.86 | HO   4.48 | HOF 17.64 | SE  2.41 | loss 0.0126 |   8725s
ep  2925 | eps 0.10 | return   171.05 | HO   4.56 | HOF 17.37 | SE  2.41 | loss 0.0122 |   8800s
ep  2950 | eps 0.10 | return   170.33 | HO   4.47 | HOF 17.52 | SE  2.41 | loss 0.0124 |   8876s
ep  2975 | eps 0.10 | return   170.17 | HO   4.46 | HOF 17.48 | SE  2.41 | loss 0.0122 |   8951s
ep  3000 | eps 0.10 | return   169.41 | HO   4.51 | HOF 17.62 | SE  2.41 | loss 0.0121 |   9026s
ep  3025 | eps 0.10 | return   170.93 | HO   4.56 | HOF 17.40 | SE  2.41 | loss 0.0120 |   9101s
ep  3050 | eps 0.10 | return   171.44 | HO   4.57 | HOF 17.35 | SE  2.41 | loss 0.0118 |   9176s
ep  3075 | eps 0.10 | return   171.37 | HO   4.41 | HOF 17.49 | SE  2.42 | loss 0.0119 |   9251s
ep  3100 | eps 0.10 | return   170.78 | HO   4.43 | HOF 17.50 | SE  2.41 | loss 0.0119 |   9326s
ep  3125 | eps 0.10 | return   169.04 | HO   4.41 | HOF 17.77 | SE  2.41 | loss 0.0119 |   9401s
ep  3150 | eps 0.10 | return   171.27 | HO   4.49 | HOF 17.44 | SE  2.42 | loss 0.0118 |   9476s
ep  3175 | eps 0.10 | return   171.08 | HO   4.48 | HOF 17.41 | SE  2.42 | loss 0.0118 |   9551s
ep  3200 | eps 0.10 | return   169.47 | HO   4.44 | HOF 17.63 | SE  2.41 | loss 0.0115 |   9626s
ep  3225 | eps 0.10 | return   171.03 | HO   4.59 | HOF 17.42 | SE  2.42 | loss 0.0114 |   9702s
ep  3250 | eps 0.10 | return   168.87 | HO   4.49 | HOF 17.57 | SE  2.41 | loss 0.0114 |   9777s
ep  3275 | eps 0.10 | return   171.85 | HO   4.47 | HOF 17.35 | SE  2.42 | loss 0.0114 |   9853s
ep  3300 | eps 0.10 | return   170.22 | HO   4.61 | HOF 17.36 | SE  2.41 | loss 0.0115 |   9928s
ep  3325 | eps 0.10 | return   171.71 | HO   4.54 | HOF 17.19 | SE  2.42 | loss 0.0117 |  10003s
ep  3350 | eps 0.10 | return   167.76 | HO   4.41 | HOF 17.87 | SE  2.41 | loss 0.0116 |  10078s
ep  3375 | eps 0.10 | return   169.47 | HO   4.52 | HOF 17.47 | SE  2.41 | loss 0.0114 |  10154s
ep  3400 | eps 0.10 | return   171.19 | HO   4.56 | HOF 17.38 | SE  2.41 | loss 0.0114 |  10229s
ep  3425 | eps 0.10 | return   167.37 | HO   4.47 | HOF 17.77 | SE  2.41 | loss 0.0113 |  10304s
ep  3450 | eps 0.10 | return   169.32 | HO   4.49 | HOF 17.51 | SE  2.41 | loss 0.0114 |  10379s
ep  3475 | eps 0.10 | return   170.77 | HO   4.54 | HOF 17.33 | SE  2.41 | loss 0.0113 |  10454s
ep  3500 | eps 0.10 | return   170.40 | HO   4.48 | HOF 17.52 | SE  2.41 | loss 0.0112 |  10530s
ep  3525 | eps 0.10 | return   170.61 | HO   4.54 | HOF 17.43 | SE  2.41 | loss 0.0112 |  10605s
ep  3550 | eps 0.10 | return   168.99 | HO   4.54 | HOF 17.36 | SE  2.41 | loss 0.0112 |  10680s
ep  3575 | eps 0.10 | return   170.94 | HO   4.41 | HOF 17.51 | SE  2.42 | loss 0.0111 |  10755s
ep  3600 | eps 0.10 | return   170.43 | HO   4.51 | HOF 17.27 | SE  2.41 | loss 0.0112 |  10830s
ep  3625 | eps 0.10 | return   169.32 | HO   4.49 | HOF 17.46 | SE  2.41 | loss 0.0109 |  10905s
ep  3650 | eps 0.10 | return   170.09 | HO   4.58 | HOF 17.23 | SE  2.41 | loss 0.0108 |  10980s
ep  3675 | eps 0.10 | return   173.96 | HO   4.54 | HOF 17.05 | SE  2.42 | loss 0.0107 |  11055s
ep  3700 | eps 0.10 | return   169.57 | HO   4.58 | HOF 17.39 | SE  2.41 | loss 0.0105 |  11130s
ep  3725 | eps 0.10 | return   171.15 | HO   4.50 | HOF 17.39 | SE  2.41 | loss 0.0105 |  11205s
ep  3750 | eps 0.10 | return   170.36 | HO   4.50 | HOF 17.40 | SE  2.41 | loss 0.0102 |  11280s
ep  3775 | eps 0.10 | return   170.41 | HO   4.52 | HOF 17.31 | SE  2.41 | loss 0.0102 |  11355s
ep  3800 | eps 0.10 | return   170.73 | HO   4.44 | HOF 17.39 | SE  2.41 | loss 0.0102 |  11430s
ep  3825 | eps 0.10 | return   171.90 | HO   4.48 | HOF 17.24 | SE  2.42 | loss 0.0106 |  11505s
ep  3850 | eps 0.10 | return   169.34 | HO   4.62 | HOF 17.31 | SE  2.41 | loss 0.0109 |  11580s
ep  3875 | eps 0.10 | return   170.55 | HO   4.49 | HOF 17.28 | SE  2.41 | loss 0.0104 |  11655s
ep  3900 | eps 0.10 | return   168.72 | HO   4.52 | HOF 17.36 | SE  2.41 | loss 0.0101 |  11731s
ep  3925 | eps 0.10 | return   171.00 | HO   4.42 | HOF 17.28 | SE  2.41 | loss 0.0104 |  11806s
ep  3950 | eps 0.10 | return   171.26 | HO   4.49 | HOF 17.14 | SE  2.42 | loss 0.0101 |  11881s
ep  3975 | eps 0.10 | return   169.00 | HO   4.48 | HOF 17.38 | SE  2.41 | loss 0.0100 |  11956s
ep  4000 | eps 0.10 | return   169.59 | HO   4.46 | HOF 17.39 | SE  2.41 | loss 0.0100 |  12031s
