ep     1 | eps 0.90 | return   -93.93 | HO   2.60 | HOF 64.10 | SE  2.06 | loss nan |      3s
ep  3775 | eps 0.10 | return   165.85 | HO   4.45 | HOF 17.28 | SE  2.40 | loss 0.0125 |  11861s
ep  3800 | eps 0.10 | return   165.76 | HO   4.39 | HOF 17.49 | SE  2.40 | loss 0.0119 |  11940s
ep  3825 | eps 0.10 | return   167.83 | HO   4.59 | HOF 17.04 | SE  2.41 | loss 0.0120 |  12018s
ep  3850 | eps 0.10 | return   166.01 | HO   4.38 | HOF 17.36 | SE  2.40 | loss 0.0118 |  12096s
ep  3875 | eps 0.10 | return   164.38 | HO   4.40 | HOF 17.29 | SE  2.40 | loss 0.0118 |  12175s
ep  3900 | eps 0.10 | return   166.64 | HO   4.35 | HOF 17.12 | SE  2.40 | loss 0.0116 |  12254s
ep  3925 | eps 0.10 | return   167.48 | HO   4.38 | HOF 17.21 | SE  2.41 | loss 0.0114 |  12333s
ep  3950 | eps 0.10 | return   164.67 | HO   4.44 | HOF 17.27 | SE  2.40 | loss 0.0114 |  12412s
ep  3975 | eps 0.10 | return   165.70 | HO   4.46 | HOF 17.22 | SE  2.40 | loss 0.0112 |  12491s
ep  4000 | eps 0.10 | return   166.98 | HO   4.46 | HOF 17.11 | SE  2.41 | loss 0.0112 |  12569s
